LY2PU	LP								

UTC	Band	Mode	Call    Sent	Received	Mult	Points		
1802	7	SSB	LY1FW	  5964	5994		1	1		
1803	21	SSB	LY1FW	  5964	5994		1	1		
1804	28	SSB	LY1FW	  5964	5994		1	1		
1807	7	SSB	OK6A    5964	5998		1	1		
1808	7	SSB	OH0R	  5964	5979		1	1		
1812	7	SSB	SV8CS	  5964	5969		1	1		
1814	7	SSB	ER3DW	  5964	5997		1	1		
1823	7	SSB	SP9LJD  5964	5979		0	1		
1825	7	SSB	IZ4DPV  5964	5901		1	1		
1833	7	CW	LY2OX	  59964	59966		1	1		
1836	28	CW	LY4AA	  59964	59995		1	1		
1837	7	CW	LY4AA	  59964	59995		1	1		
1841	7	CW	DL3TD	  59964	59967		1	1		
1849	7	CW	LY2MM	  59964	59970		1	1		
1853	7	CW	YO5CBX  59964	59977		1	1			
1856	7	CW	LY2DX	  59964	59983		1	1			
1858	7	CW	LY2KM	  59964	59982		1	1			
1909	7	SSB	OL5Y	  5964	5984		1	1			
1911	7	SSB	PA9DD	  5964	5985		1	1			
1914	7	SSB	DL/KX7M 5964	5984		0	1			
1923	3.5	SSB	LY1FW	  5964	5994		1	1			
1925	3.5	SSB	YL1XN	  5964	5900		1	1			
1927	3.5	SSB	LY6A	  5964	5977		1	1			
1930	3.5	SSB	SP9LJD  5964	5979		1	1			
1932	3.5	SSB	YR5A	  5964	5995		1	1			
1936	3.5	SSB	E06F	  5964	5971		1	1			
1938	3.5	SSB	YL7A	  5964	5973		1	1			
1939	3.5	SSB	LY4BR	  5964	5973		0	1			
1941	3.5	SSB	ER3CT	  5964	5982		1	1			
1942	3.5	SSB	OH0R	  5964	5979		0	1			
1943	3.5	SSB	LY2OU	  5964	5959		1	1		
1945	3.5	SSB	LY1CM	  5964	5973		0	1		
1949	3.5	SSB	HA6NF	  5964	5974		1	1		
1953	3.5	SSB	LY3BH	  5964	5972		1	1		
1959	3.5	CW	LY2BBF  59964	59972		0	1		
2002	3.5	CW	LY2TE	  59964	59984		1	1		
2003	3.5	CW	LY2BW	  59964	59973		0	1		
2005	3.5	CW	LY2PX	  59964	59968		1	1		
2010	3.5	CW	LY2HK	  59964	59978		1	1		
2012	3.5	CW	LY2OO	  59964	59961		1	1		
2015	3.5	CW	LY2LF	  59964	59982		0	1		
2015	3.5	CW	LY2MM	  59964	59970		1	1		
2019	3.5	CW	LY2GV	  59964	59979		0	1		
2027	3.5	CW	LY7Z	  59964	59988		1	1		
2031	3.5	CW	LY5A	  59964	59970		0	1		
2034	3.5	CW	LY2KW	  59964	59982		0	1		
2039	3.5	CW	LY1DT	  59964	59995		0	1		
2040	3.5	CW	LY2BOS  59964	59984		0	1		
2043	3.5	CW	LY1BX	  59964	59938		1	1		
2048	3.5	CW	LY2OX	  59964	59966		1	1		
2053	3.5	SSB	LY2TE	  5964	5984		0	1		
2055	3.5	SSB	ES5TV	  5964	5992		1	1		
2056	3.5	SSB	YL7C	  5964	5981		1	1		
2059	3.5	SSB	LY2OO	  5964	5961		0	1		
2059	3.5	SSB	YL1ZS	  5964	5968		0	1		
				
	Multipliers			  39			
	QSO				  55			
	Result:  55 x 39 =	2145		
