                      EU HF CHAMPIONSHIP 2003

            CALLSIGN: F6FTB          MODE: CW                   BAND: ALL

       DATE    TIME   NUMBER FREQ  MODE   CALL          SENT      RCVD    MULTS   

    02-Aug-03  1416      1    20    CW    G4IIY        599 73    599 79               
    02-Aug-03  1417      2    20    CW    EA7WA        599 73    599 81              
    02-Aug-03  1418      3    20    CW    DL0GL        599 73    599 99              
    02-Aug-03  1424      4    20    CW    YP3A         599 73    599 53              
    02-Aug-03  1427      5    20    CW    OH2BH        599 73    599 96              
    02-Aug-03  1428      6    20    CW    LY7Z         599 73    599 88              
    02-Aug-03  1429      7    20    CW    S58A         599 73    599 68              
    02-Aug-03  1430      8    20    CW    HG1R         599 73    599 79              
    02-Aug-03  1433      9    20    CW    LY2MM        599 73    599 70                
    02-Aug-03  1434     10    20    CW    OH2CI        599 73    599 71                
    02-Aug-03  1820     11    20    CW    Z3100M       599 73    599 87              
    02-Aug-03  1821     12    20    CW    LY6A         599 73    599 77               
    02-Aug-03  1823     13    40    CW    HG8C         599 73    599 76              
    02-Aug-03  1823     14    40    CW    HA6NL        599 73    599 72                
    02-Aug-03  1823     15    40    CW    DL4SDW       599 73    599 91              
    02-Aug-03  1823     16    40    CW    OH2CI        599 73    599 71              
    02-Aug-03  1825     17    40    CW    LY2OX        599 73    599 66              
    02-Aug-03  1855     18    40    CW    LZ9R         599 73    599 90              
    02-Aug-03  1858     19    40    CW    UT1IWA       599 73    599 03            
    02-Aug-03  1859     20    40    CW    YT7TY        599 73    599 80              
    02-Aug-03  1859     21    40    CW    SM3W         599 73    599 97              
    02-Aug-03  1901     22    40    CW    LY1BA        599 73    599 87              
    02-Aug-03  1904     23    40    CW    PA5WT        599 73    599 77              
    02-Aug-03  1906     24    40    CW    OK1DOS       599 73    599 84              
    02-Aug-03  1908     25    40    CW    PA3AAV       599 73    599 77                
    02-Aug-03  1909     26    40    CW    S59DCD       599 73    599 74              
    02-Aug-03  1910     27    40    CW    ER1LW        599 73    599 84              
    02-Aug-03  1909     28    40    CW    UT1FA        599 73    599 77                
    02-Aug-03  1911     29    40    CW    RA1ARJ       599 73    599 99              
    02-Aug-03  1913     30    40    CW    S51Z         599 73    599 77                
    02-Aug-03  1914     31    40    CW    YL5W         599 73    599 68              
    02-Aug-03  1916     32    40    CW    9A7P         599 73    599 83              
    02-Aug-03  1916     33    40    CW    G0CKP        599 73    599 85               
    02-Aug-03  1918     34    40    CW    DK5IM        599 73    599 60                
    02-Aug-03  1919     35    40    CW    YT1AD        599 73    599 76                
    02-Aug-03  1920     36    40    CW    SP2HMT       599 73    599 74              
    02-Aug-03  1921     37    40    CW    RM3C         599 73    599 77                
    02-Aug-03  1923     38    40    CW    EU6DX        599 73    599 69              
    02-Aug-03  1923     39    40    CW    OK1FHI       599 73    599 83                
    02-Aug-03  1924     40    40    CW    G3KDP        599 73    599 54                
    02-Aug-03  1925     41    40    CW    G3SXW        599 73    599 63                
    02-Aug-03  1926     42    40    CW    EA4DRV       599 73    599 96              
    02-Aug-03  1930     43    40    CW    DL3KWR       599 73    599 75                
    02-Aug-03  1931     44    40    CW    OK1KZ        599 73    599 66                
    02-Aug-03  1932     45    40    CW    F5YJ/P       599 73    599 67               
    02-Aug-03  1933     46    40    CW    US0Q         599 73    599 70                
    02-Aug-03  1933     47    40    CW    SP3DIK       599 73    599 69                
    02-Aug-03  1934     48    40    CW    G3XAN        599 73    599 67                
    02-Aug-03  1935     49    40    CW    LY5A         599 73    599 70                
    02-Aug-03  1936     50    40    CW    OK2KJ        599 73    599 65                
    02-Aug-03  1936     51    40    CW    SP1AEN       599 73    599 72                
    02-Aug-03  1936     52    40    CW    9A5M         599 73    599 01              
    02-Aug-03  1937     53    40    CW    OM3MB        599 73    599 63              
    02-Aug-03  1937     54    40    CW    OK1FCA       599 73    599 71                
    02-Aug-03  1942     55    40    CW    EA7RM        599 73    599 86                
    02-Aug-03  1943     56    40    CW    UW2F         599 73    599 78                
    02-Aug-03  1945     57    40    CW    SP8LZC       599 73    599 81              
    02-Aug-03  1949     58    80    CW    S53F         599 73    599 83              
