BAND    MODE    UTC     CALL    SENT    RC
3.5     CW      1927    LY5A    599 81  70
3.5     CW      1928    HA8JV   599 81  87
3.5     CW      1929    ER3OO   599 81  75
3.5     CW      1931    YT6A    599 81  69
3.5     CW      1932    S58A    599 81  68
3.5     CW      1933    UU7J    599 81  90
3.5     CW      1934    OK2WTM  599 81  99
3.5     CW      1939    YT1LT   599 81  01
3.5     CW      1940    4N1LB   599 81  93
3.5     CW      1941    DL4SDW  599 81  91
3.5     CW      1942    9A3VM   599 81  69
3.5     CW      1944    YL2BJ   599 81  72
3.5     CW      1945    S52QM   599 81  81
3.5     CW      1945    YO3APJ  599 81  69
3.5     CW      1947    F5IN    599 81  65
3.5     CW      1948    YU7WJ   599 81  89
3.5     CW      1948    LY2OX   599 81  66
3.5     CW      1949    ON7YX   599 81  88
3.5     CW      1951    S53DRA  599 81  70
3.5     CW      1952    HG1S    599 81  83
3.5     CW      1953    US9QA   599 81  64
3.5     CW      1954    LY7Z    599 81  88
3.5     CW      1955    UY3QP   599 81  83
3.5     CW      1957    DL5YM   599 81  71
3.5     CW      1958    UW5Q    599 81  99
3.5     CW      2000    EW8DX   599 81  65
3.5     CW      2001    YU7NU   599 81  76
3.5     CW      2002    OL4M    599 81  47
3.5     CW      2003    S50Q    599 81  80
3.5     CW      2004    YL0A    599 81  73
3.5     CW      2005    F6IRF   599 81  83
3.5     CW      2006    LY2GV   599 81  79
3.5     CW      2006    OL5Y    599 81  84
3.5     CW      2014    LY2CY   599 81  65
3.5     CW      2016    LY4AA   599 81  95
3.5     CW      2016    S53EO   599 81  63
3.5     CW      2017    SP9GFI  599 81  73
3.5     CW      2018    UA2FL   599 81  64
3.5     CW      2020    LY2FY   599 81  84
3.5     CW      2021    SM5RE   599 81  48
3.5     CW      2023    PA3BFH  599 81  80
3.5     CW      2024    OM4DN   599 81  75
3.5     CW      2024    ON6TJ   599 81  73
3.5     CW      2025    YP3A    599 81  70
3.5     CW      2025    OK1TGI  599 81  98
3.5     CW      2025    SP1AEN  599 81  72
3.5     CW      2026    SM6CRM  599 81  61
3.5     CW      2026    S53O    599 81  72
3.5     CW      2028    S53F    599 81  83
3.5     CW      2028    OK2BND  599 81  66
3.5     CW      2029    DK7FP   599 81  71
3.5     CW      2029    DL1LAW  599 81  82
3.5     CW      2031    DK3DM   599 81  90
3.5     CW      2031    YU1PC   599 81  85
3.5     CW      2032    S58Q    599 81  69
3.5     CW      2033    OK2PDT  599 81  67
3.5     CW      2036    DL7VZF  599 81  76
3.5     CW      2036    LZ2L    599 81  79
3.5     CW      2038    RW1AC/1 599 81  84
3.5     CW      2040    IV3SKB  599 81  98
3.5     CW      2041    LY2BBI  599 81  72
3.5     CW      2041    HA3PT   599 81  73
3.5     CW      2042    UA2FBQ  599 81  83
3.5     CW      2042    HG5Z    599 81  88
3.5     CW      2043    OK1AOV  599 81  65
3.5     CW      2043    S56O    599 81  77
3.5     CW      2044    DJ3PA   599 81  93
3.5     CW      2045    F5YJ/P  599 81  67
3.5     CW      2047    LY2OM   599 81  58
3.5     CW      2048    UA1ARX  599 81  01
3.5     CW      2049    YO9WF   599 81  88
3.5     CW      2049    SM6KRI  599 81  78
3.5     CW      2049    DL6KWN  599 81  65
3.5     CW      2050    LY9A    599 81  75
3.5     CW      2051    LY2BW   599 81  73
3.5     CW      2053    OK1AOU  599 81  65
3.5     CW      2055    OK2MBP  599 81  95
3.5     CW      2056    LY2PX   599 81  68
3.5     CW      2100    S52KA   599 81  97
3.5     CW      2102    Z33AA   599 81  85
3.5     CW      2105    YR5A    599 81  95
3.5     CW      2106    DL3TD   599 81  67
3.5     CW      2107    LY2UF   599 81  90
3.5     CW      2108    HA8EK   599 81  76
3.5     CW      2110    HG9R    599 81  73
3.5     CW      2111    IK3UNA  599 81  91
3.5     CW      2112    SM3EAE  599 81  67
3.5     CW      2113    OK2BOB  599 81  66
3.5     CW      2115    DJ3XD   599 81  57
3.5     CW      2116    RA6AX   599 81  72
3.5     CW      2117    G4PIQ/P 599 81  82
3.5     CW      2118    SM3EVR  599 81  74
3.5     CW      2120    DF9DM   599 81  79
3.5     CW      2121    LY750CT 599 81  77
3.5     CW      2125    YO2BEH  599 81  74
3.5     CW      2125    DL1MGB  599 81  90
3.5     CW      2151    LY5G    599 81  70
3.5     CW      2152    DH1TW   599 81  96
3.5     CW      2153    DL4JYT  599 81  84
3.5     CW      2154    OK1GS   599 81  57
3.5     CW      2155    ON4KLG  599 81  87
3.5     CW      2156    RA3NZ   599 81  90
3.5     CW      2156    RM3C    599 81  77
3.5     CW      2157    UA1CEC  599 81  98
3.5     CW      2159    I2WIJ   599 81  73
3.5     CW      2159    OH6BG   599 81  82
