QSO: 14017 CW 2002-08-03 1004 G4OGB         599 82     DL3KWF        599 58      
QSO: 14017 CW 2002-08-03 1005 G4OGB         599 82     OK1DRU        599 82      
QSO: 14017 CW 2002-08-03 1005 G4OGB         599 82     YP3A          599 80      
QSO: 14017 CW 2002-08-03 1006 G4OGB         599 82     I2AZ/1        599 57      
QSO: 14017 CW 2002-08-03 1007 G4OGB         599 82     YL2BJ         599 72      
QSO: 14017 CW 2002-08-03 1008 G4OGB         599 82     S52QM         599 81      
QSO: 14017 CW 2002-08-03 1009 G4OGB         599 82     OK1MNV        599 70      
QSO: 14017 CW 2002-08-03 1010 G4OGB         599 82     RN4SS         599 83      
QSO: 14017 CW 2002-08-03 1013 G4OGB         599 82     SP7FBQ        599 71      
QSO: 14018 CW 2002-08-03 1015 G4OGB         599 82     OK2FD         599 65      
QSO: 14018 CW 2002-08-03 1016 G4OGB         599 82     UU4JO         599 69      
QSO: 14018 CW 2002-08-03 1016 G4OGB         599 82     UR5GFO        599 98      
QSO: 14018 CW 2002-08-03 1017 G4OGB         599 82     UA2BD         599 59      
QSO: 14018 CW 2002-08-03 1018 G4OGB         599 82     LY2CU         599 75      
QSO: 14018 CW 2002-08-03 1019 G4OGB         599 82     OK2KJ         599 77      
QSO: 14002 CW 2002-08-03 1022 G4OGB         599 82     OH3XR         599 81      
QSO: 14008 CW 2002-08-03 1025 G4OGB         599 82     LZ2UZ         599 92      
QSO: 14010 CW 2002-08-03 1025 G4OGB         599 82     RA3XM         599 83      
QSO: 14014 CW 2002-08-03 1027 G4OGB         599 82     LZ2PL         599 86      
QSO: 14014 CW 2002-08-03 1028 G4OGB         599 82     EA3KU         599 79      
QSO: 14019 CW 2002-08-03 1030 G4OGB         599 82     RA4AR         599 76      
QSO: 14023 CW 2002-08-03 1031 G4OGB         599 82     SP8BAB        599 65      
QSO: 14025 CW 2002-08-03 1033 G4OGB         599 82     IK2WXV        599 92      
QSO: 14034 CW 2002-08-03 1036 G4OGB         599 82     LY2ZO         599 73      
QSO: 14035 CW 2002-08-03 1037 G4OGB         599 82     LY5G          599 77      
QSO: 14037 CW 2002-08-03 1038 G4OGB         599 82     T93Y          599 87      
QSO: 14042 CW 2002-08-03 1039 G4OGB         599 82     HG9R          599 73      
QSO: 14042 CW 2002-08-03 1040 G4OGB         599 82     SK2NCJ        599 90      
QSO: 14043 CW 2002-08-03 1040 G4OGB         599 82     LY2KM         599 82      
QSO: 14050 CW 2002-08-03 1042 G4OGB         599 82     RW3GU/3       599 86      
QSO: 14055 CW 2002-08-03 1043 G4OGB         599 82     LY2BOS        599 84      
QSO: 14020 CW 2002-08-03 1045 G4OGB         599 82     SP1AEN        599 72      
QSO: 21007 CW 2002-08-03 1050 G4OGB         599 82     LY5A          599 70      
QSO: 21016 CW 2002-08-03 1051 G4OGB         599 82     LY7Z          599 88      
QSO: 21020 CW 2002-08-03 1055 G4OGB         599 82     EW8DX         599 65      
