	EU HF-Championship 2002			LOG DK3AX			
	Class: 4			RST Sent: 59967			

Nr.	Date	UTC	QRG	CALL	RST	YR	MUL

1	03. Aug 02	1443	20	Z33AA	599	85	1
2	03. Aug 02	1444	20	GM4SID	599	80	1
3	03. Aug 02	1444	20	UT5UGR	599	85	
5	03. Aug 02	1446	20	YU7NU	599	76	1
4	03. Aug 02	1446	20	LZ2PL	599	86	1
6	03. Aug 02	1447	20	RA4AR	599	76	
7	03. Aug 02	1448	20	RM3C	599	77	1
8	03. Aug 02	1448	20	ES5RY	599	79	1
9	03. Aug 02	1449	20	YO7FT/P	599	60	1
10	03. Aug 02	1451	20	G3TXF	599	65	1
11	03. Aug 02	1452	20	LZ2TU	599	80	
12	03. Aug 02	1453	20	UX0ZX	599	77	
13	03. Aug 02	1455	15	UW5Q	599	99	1
14	03. Aug 02	1456	15	RX6AM	599	75	1
15	03. Aug 02	1500	20	OH1MM	599	87	1
16	03. Aug 02	1501	20	LY2OX	599	66	1
17	03. Aug 02	1501	20	UY8IF	599	80	
18	03. Aug 02	1502	20	OH1F	599	86	
19	03. Aug 02	1503	20	OH0B	599	96	1
21	03. Aug 02	1508	20	LY9A	599	75	1
20	03. Aug 02	1508	20	CT1BOS	599	81	1
22	03. Aug 02	1510	20	EU1DX	599	86	
23	03. Aug 02	1512	40	OH2PM	599	59	1
24	03. Aug 02	1513	40	DL6KWN	599	65	1
25	03. Aug 02	1513	40	YL8M	599	75	1
26	03. Aug 02	1514	40	HG1S	599	83	1
27	03. Aug 02	1515	40	HA6NL	599	72	1
28	03. Aug 02	1515	40	G4BWP	599	73	1
29	03. Aug 02	1516	40	9A5Y	599	85	1
30	03. Aug 02	1518	40	LY7Z	599	88	1
31	03. Aug 02	1519	40	9A2KD	599	75	
32	03. Aug 02	1521	40	PA5WT	599	77	1
33	03. Aug 02	1524	20	UA1ARX	599	1	1
34	03. Aug 02	1525	20	LY5A	599	70	1
36	03. Aug 02	1526	20	RW4FZ	599	79	
35	03. Aug 02	1526	20	RA1OZ	599	94	1
37	03. Aug 02	1528	20	RA6AX	599	72	1
38	03. Aug 02	1529	20	YZ9A	599	66	
39	03. Aug 02	1532	20	RW4LC	599	73	1
40	03. Aug 02	1533	20	RK3FT	599	83	1
41	03. Aug 02	1534	20	RN4SS	599	83	
42	03. Aug 02	1534	20	LY2FY	599	84	1
43	03. Aug 02	1535	20	LY2MM	599	70	
44	03. Aug 02	1536	20	EA3KU	599	79	
45	03. Aug 02	1537	20	YO3APJ	599	69	1
46	03. Aug 02	1539	20	RK3AWL	599	86	
47	03. Aug 02	1540	20	HA3NU	599	72	
48	03. Aug 02	1540	20	RK3BA	599	90	1
49	03. Aug 02	1542	20	RW4LR	599	77	
50	03. Aug 02	1547	15	UY8IF	599	80	1
51	03. Aug 02	1548	15	US9Q	599	64	1
52	03. Aug 02	1549	15	RK3FT	599	83	1
53	03. Aug 02	1552	15	F5IN	599	65	1
54	03. Aug 02	1554	15	RA6AX	599	72	1
55	03. Aug 02	1556	20	RA3NZ	599	90	
56	03. Aug 02	1822	20	LY2DX	599	83	
57	03. Aug 02	1823	15	EW8DX	599	65	
58	03. Aug 02	1824	15	OH2PM	599	59	1
59	03. Aug 02	1828	10	EU1DX	599	86	1
61	03. Aug 02	1830	10	LY2PX	599	68	1
60	03. Aug 02	1830	10	EA3KU	599	79	1
62	03. Aug 02	1831	10	UA4WI	599	80	1
63	03. Aug 02	1833	10	UA3PB	599	68	
64	03. Aug 02	1834	10	UA1ARX	599	1	1
65	03. Aug 02	1837	15	LY2TE	599	84	1
66	03. Aug 02	1838	15	EU1DX	599	86	1
67	03. Aug 02	1839	15	LY2PX	599	68	1
69	03. Aug 02	1841	15	OH2XX	599	79	1
68	03. Aug 02	1841	15	CT1BOH	599	81	1
70	03. Aug 02	1845	20	EW8DX	599	65	
71	03. Aug 02	1849	20	OK2BND	599	66	
72	03. Aug 02	1851	20	RX3AEX	599	88	1
73	03. Aug 02	1852	20	LY2CU	599	75	
75	03. Aug 02	1853	20	LY2ZO	599	73	
74	03. Aug 02	1853	20	US0MR	599	79	
76	03. Aug 02	1856	40	9A3MA	599	82	1
78	03. Aug 02	1857	40	YT6A	599	69	1
77	03. Aug 02	1857	40	HB9ARF	599	71	1
79	03. Aug 02	1858	40	OH0B	599	96	1
80	03. Aug 02	1859	40	YU7NU	599	76	1
81	03. Aug 02	1859	40	HA8JV	599	87	1
82	03. Aug 02	1900	40	RN6AL	599	85	
83	03. Aug 02	1901	40	G4PIQ/P	599	82	
85	03. Aug 02	1902	40	S58A	599	68	1
84	03. Aug 02	1902	40	IK2JUB	599	87	
86	03. Aug 02	1903	40	IK2NCJ	599	90	1
87	03. Aug 02	1904	40	OH1F	599	86	1
88	03. Aug 02	1905	40	LY2GV	599	79	1
89	03. Aug 02	1905	40	S50Q	599	80	1
90	03. Aug 02	1906	40	S53F	599	83	
92	03. Aug 02	1907	40	LY2MM	599	70	1
91	03. Aug 02	1907	40	RW7HX	599	89	1
93	03. Aug 02	1908	40	HG9R	599	73	
95	03. Aug 02	1909	40	HA6OA	599	73	
94	03. Aug 02	1909	40	ON4IA	599	88	
96	03. Aug 02	1911	40	UX9IO	599	80	
97	03. Aug 02	1913	40	F5IN	599	65	
98	03. Aug 02	1915	40	LX1NO	599	90	
99	03. Aug 02	1915	40	EA5FID	599	92	1
100	03. Aug 02	1916	40	ON4UN	599	61	1
101	03. Aug 02	1916	40	UW5U	599	75	
102	03. Aug 02	1917	40	OL0E	599	66	1
103	03. Aug 02	1917	40	S53O	599	72	
104	03. Aug 02	1918	40	DL7FER	599	93	1
105	03. Aug 02	1919	40	R9/N5XZ	599	70	
106	03. Aug 02	1920	40	LY2BBF	599	72	
108	03. Aug 02	1921	40	OK1HX	599	51	1
107	03. Aug 02	1921	40	RK3FT	599	83	
109	03. Aug 02	1922	40	UX7IA	599	79	
110	03. Aug 02	1923	40	ES5RY	599	79	
111	03. Aug 02	1924	40	RZ3AZ/3	599	76	
112	03. Aug 02	1925	40	OK2MBP	599	95	1
113	03. Aug 02	1926	40	S56O	599	77	
114	03. Aug 02	1927	40	RU4CO	599	81	1
115	03. Aug 02	1928	40	LY2CY	599	65	
116	03. Aug 02	1929	40	G4OGB	599	82	
117	03. Aug 02	1930	40	LY2UF	599	90	
119	03. Aug 02	1931	40	YZ9A	599	66	
118	03. Aug 02	1931	40	UW5Q	599	99	1
120	03. Aug 02	1932	40	M0SDX	599	0	1
121	03. Aug 02	1933	40	RK3BA	599	90	
122	03. Aug 02	1934	40	UA1ARX	599	1	1
123	03. Aug 02	1935	40	LY2OX	599	66	
124	03. Aug 02	1936	40	UA4NCI	599	74	1
125	03. Aug 02	1938	40	G3TXF	599	65	
126	03. Aug 02	1939	40	LY2PX	599	68	
127	03. Aug 02	1941	40	OH6NIO	599	85	
128	03. Aug 02	1942	40	RN3BK	599	75	
129	03. Aug 02	1944	80	YT6A	599	69	1
130	03. Aug 02	1945	80	HA8JV	599	87	1
131	03. Aug 02	1945	80	EA5FID	599	92	1
132	03. Aug 02	1946	80	S58A	599	68	1
133	03. Aug 02	1948	80	F6IRF	599	83	1
134	03. Aug 02	1949	80	DL1DTC	599	76	1
135	03. Aug 02	1950	80	YR5A	599	95	1
136	03. Aug 02	1952	80	LZ2RF	599	62	1
137	03. Aug 02	1953	80	OL4M	599	47	1
138	03. Aug 02	1953	80	S53O	599	72	1
140	03. Aug 02	1954	80	YU7NU	599	76	
139	03. Aug 02	1954	80	OH0B	599	96	1
141	03. Aug 02	1955	80	LY2UF	599	90	1
142	03. Aug 02	1957	80	HG9R	599	73	1
143	03. Aug 02	1957	80	LY2TE	599	84	1
145	03. Aug 02	1959	80	HG1R	599	76	
144	03. Aug 02	1959	80	UW5Q	599	99	1
146	03. Aug 02	2000	80	SK3W	599	75	1
147	03. Aug 02	2003	80	LY2MM	599	70	1
148	03. Aug 02	2003	80	HG1S	599	83	
149	03. Aug 02	2005	80	OH1F	599	86	1
151	03. Aug 02	2006	80	ES5RY	599	79	1
150	03. Aug 02	2006	80	LY2DX	599	83	
152	03. Aug 02	2007	80	YL8M	599	75	
154	03. Aug 02	2008	80	LY2BW	599	73	
153	03. Aug 02	2008	80	S58M	599	82	1
155	03. Aug 02	2009	80	S52QM	599	81	1
156	03. Aug 02	2010	80	LY1DI	599	89	1
157	03. Aug 02	2011	80	YZ9A	599	66	1
158	03. Aug 02	2012	80	4N1LB	599	93	1
159	03. Aug 02	2014	80	UA2FL	599	64	1
161	03. Aug 02	2015	80	S53EO	599	63	1
160	03. Aug 02	2015	80	SP9GFI	599	73	
162	03. Aug 02	2016	80	LY4AA	599	95	
163	03. Aug 02	2017	80	LY2DT	599	67	1
164	03. Aug 02	2018	80	OK2PAY	599	68	
165	03. Aug 02	2020	80	UA2FF	599	76	
166	03. Aug 02	2022	80	YL0A	599	73	
167	03. Aug 02	2023	80	LY2CY	599	65	1
169	03. Aug 02	2024	80	LY2GV	599	79	
168	03. Aug 02	2024	80	LY2FY	599	84	
170	03. Aug 02	2025	80	G4BWP	599	73	
