LY2DT CW-LP

Utc     Mhz     Mode    Call    Sent    Rcvd
10:00   28      Cw      UA3TU   59967   59977
10:04   28      Cw      RA6AX   59967   59972
10:05   28      Cw      LY5A    59967   59970
10:06   28      Cw      RK4FF   59967   59980
10:12   28      Cw      RW4LR   59967   59977
10:15   28      Cw      UA4CCG  59967   59973
10:19   28      Cw      UT1IA   59967   59976
10:36   28      Cw      UA3TN   59967   59963
10:42   28      Cw      LY2GV   59967   59979
10:43   28      Cw      LZ9R    59967   59990
10:54   21      Cw      F5IN    59967   59965
10:57   21      Cw      RW4LR   59967   59977
10:57   21      Cw      LY2TE   59967   59984
10:59   21      Cw      YT6A    59967   59969
11:02   21      Cw      LZ2PL   59967   59986
11:03   21      Cw      UA3TU   59967   59977
11:04   21      Cw      4N1LB   59967   59993
11:05   21      Cw      UA4CCG  59967   59973
11:06   21      Cw      9A3MA   59967   59982
11:09   21      Cw      LX1NO   59967   55990
11:10   21      Cw      RN4HS   59967   59983
11:13   21      Cw      R3ZJT   59967   59902
11:14   21      Cw      LZ4UU   59967   59995
11:15   21      Cw      RZ4HZA  59967   59900
11:20   21      Cw      YO7FT/P 59967   59960
11:22   21      Cw      LY5A    59967   59970
11:23   21      Cw      S53EO   59967   59963
11:25   21      Cw      LY2GV   59967   59979
11:30   21      Cw      LY2OM   59967   59958
11:34   21      Cw      IK2HKT  59967   59986
11:35   21      Cw      UA3MDX  59967   59980
13:42   21      Cw      R3ZNO   59967   59902
13:43   21      Cw      UU7J    59967   59990
13:46   21      Cw      ON4KLG  59967   59987
13:47   21      Cw      YU7NU   59967   59976
13:48   21      Cw      US7IGF  59967   59988
13:48   21      Cw      RW4FZ   59967   59979
13:52   21      Cw      IK2NCJ  59967   59990
13:53   21      Cw      YO9WF   59967   59988
13:54   21      Cw      PA3BFH  59967   59980
13:57   21      Cw      G4PIQ/P 59967   59982
13:59   21      Cw      IK3UNA  59967   59991
14:04   21      Cw      R3ZRQ   59967   59902
14:06   21      Cw      R3ZFW   59967   59902
14:09   21      Cw      UY8IF   59967   59980
14:11   21      Cw      M0AJT   59967   59996
14:15   21      Cw      RK4FF   59967   59980
14:18   21      Cw      RA6AX   59967   59972
14:19   21      Cw      S52QM   59967   59981
14:25   21      Cw      LZ2L    59967   59979
14:26   21      Cw      LY9A    59967   59975
14:28   21      Cw      S56M    59967   59980
14:32   21      Cw      LY1DI   59967   59989
14:34   21      Cw      UX7IA   59967   59979
14:39   21      Cw      9A5Y    59967   59985
14:41   21      Cw      S50R    59967   59965
14:43   21      Cw      S56A    59967   59962
14:44   21      Cw      HG5Z    59967   59988
14:45   21      Cw      ON7YX   59967   59988
14:47   21      Cw      S51JM   59967   59969
14:49   21      Cw      RN6AL   59967   59985
14:57   7       Cw      HG9R    59967   59973
14:58   7       Cw      RN3BK   59967   59975
14:59   7       Cw      HG1S    59967   59983
15:00   7       Cw      OK1FPG  59967   59985
15:03   7       Cw      RK3FF   59967   59980
15:06   7       Cw      HA8LLK  59967   59989
15:07   7       Cw      DL7FER  59967   59993
15:10   7       Cw      DL1MGB  59967   59990
15:14   7       Cw      YO9WF   59967   59988
15:17   7       Cw      HA6NL   59967   59972
15:21   14      Cw      RW4LR   59967   59977
15:22   14      Cw      S53EO   59967   59963
15:23   14      Cw      IK2JUB  59967   59987
15:23   14      Cw      ON4UN   59967   59961
15:23   14      Cw      IK3UNA  59967   59991
15:26   14      Cw      F5IN    59967   59965
15:27   14      Cw      UT3QT   59967   59985
15:28   14      Cw      S52QM   59967   59981
15:28   14      Cw      LY2LF   59967   59982
15:29   14      Cw      RW4FZ   59967   59979
15:30   14      Cw      LY5A    59967   59970
15:34   14      Cw      YO9FYP  59967   59992
15:40   14      Cw      G0MTN   59967   59988
15:41   14      Cw      OL0E    59967   59966
15:42   14      Cw      DL1DTC  59967   59976
15:43   14      Cw      EA5FID  59967   59992
15:45   14      Cw      DK3DM   59967   59990
15:47   14      Cw      PA0JEN  59967   59974
15:48   14      Cw      UA4WI   59967   59980
15:50   14      Cw      R3ZPG   59967   59902
15:51   14      Cw      R3ZMW   59967   59902
15:53   14      Cw      G4BWP   59967   59973
15:55   14      Cw      I2AZ/1  59967   59957
15:56   14      Cw      LZ2PL   59967   59986
15:58   14      Cw      G4PIQ/P 59967   59982
16:00   14      Cw      UA6JD   59967   59970
16:03   14      Cw      UA4AOR  59967   59998
16:05   14      Cw      YO6MT   59967   59975
16:06   14      Cw      DF2BB   59967   59977
16:08   14      Cw      OK2PDT  59967   59967
16:08   14      Cw      YO9WF   59967   59988
16:08   14      Cw      R3ZKM   59967   59902
16:09   14      Cw      R3ZFW   59967   59902
16:10   14      Cw      IK2NUX  59967   59989
16:10   14      Cw      YT7WA   59967   59989
16:12   14      Cw      YP3A    59967   59970
16:12   14      Cw      ON6UQ   59967   59984
