Date	Time	Band	Mode	Call	RSTsent	RSTrec	Frequency	Multi
07.08.2004	12:11	14	cw	ly2xw	599 89	599	14026	
07.08.2004	12:25	14	cw	ea4drv	599 89	599 96	14031	1
07.08.2004	12:28	14	cw	lz9r	599 89	599 90	14028	1
07.08.2004	12:31	14	cw	mm0mww	599 89	599 61	14024	1
07.08.2004	12:36	14	cw	rx3dcx	599 89	599 82	14023	1
07.08.2004	12:37	14	cw	lz2be	599 89	599 81	14014	1
07.08.2004	12:42	14	cw	ra1ano	599 89	599 97	14009	1
07.08.2004	12:50	14	cw	yo3joh	599 89	599 00	14017	1
07.08.2004	13:00	14	cw	ua6af	599 89	599 77	14022	1
07.08.2004	13:06	14	cw	9a3vm	599 89	599 69	14025	1
07.08.2004	13:14	14	cw	ut4vz	599 89	599 77	14034	0
07.08.2004	13:18	14	cw	oh2pm	599 89	599 59	14040	1
07.08.2004	13:21	14	cw	us0q	599 89	599 70	14044	1
07.08.2004	13:23	14	cw	ly6a	599 89	599 77	14035	0
07.08.2004	13:40	14	cw	t9vom	599 89	599 96	14003	0
07.08.2004	13:46	14	cw	rd3a	599 89	599 02	14007	1
07.08.2004	13:48	14	cw	rz3az	599 89	599 93	14010	1
07.08.2004	13:50	14	cw	uw5q	599 89	599 99	14017	1
07.08.2004	13:55	14	cw	yl9w	599 89	599 77	14021	0
07.08.2004	17:08	14	cw	lz5x	599 89	599 94	14015	1
07.08.2004	17:11	14	cw	ha6ps	599 89	599 87	14017	1
07.08.2004	17:14	14	cw	ly2px	599 89	599 68	14028	1
					22				17
								
								
