No   RUF_ZEICH    DATUM         UTC    TWO_WAY  MHZ     GES     EMPF
01      LY3BH   07.08.2004      1735    2xSSB   28      5965    5972
02      YL1S    07.08.2004      1735    2xSSB   28      5965    5968
03      RK1AM   07.08.2004      1736    2xSSB   28      5965    5990
04      RK3FT   07.08.2004      1736    2xSSB   28      5965    5983
05      OH6NIO  07.08.2004      1737    2xSSB   28      5965    5985
06      UA1ANA  07.08.2004      1740    2xSSB   28      5965    5970
07      UT1IA   07.08.2004      1742    2xCW    28      59965   59976
08      RA1ANO  07.08.2004      1743    2xCW    28      59965   59997
09      RZ3AZ   07.08.2004      1744    2xCW    28      59965   59993
10      RN6AL   07.08.2004      1745    2xCW    28      59965   59985
11      RM3C    07.08.2004      1746    2xCW    28      59965   59977
12      RK3AWL  07.08.2004      1747    2xCW    28      59965   59992
13      RV2FW/1 07.08.2004      1748    2xCW    28      59965   59998
14      EW8DX   07.08.2004      1749    2xCW    28      59965   59965
15      UA3DPX  07.08.2004      1749    2xCW    28      59965   59979
16      ES1A    07.08.2004      1750    2xCW    28      59965   59974
17      YZ1EW   07.08.2004      1752    2xCW    28      59965   59988
18      YL9W    07.08.2004      1753    2xCW    28      59965   59977
19      UA4RC   07.08.2004      1754    2xCW    28      59965   59974
20      RA6AX   07.08.2004      1754    2xCW    28      59965   59972
21      UA3MM   07.08.2004      1755    2xSSB   28      5965    5990
22      LY2GD   07.08.2004      1756    2xSSB   28      5965    5972
23      UW5Q    07.08.2004      1757    2xSSB   28      5965    5999
24      RV3FF   07.08.2004      1757    2xSSB   28      5965    5980
25      LY2TE   07.08.2004      1759    2xSSB   28      5965    5984
26      UA3BL   07.08.2004      1800    2xSSB   28      5965    5971
27      OH0Z    07.08.2004      1805    2xSSB   28      5965    5977
28      UR4MRD  07.08.2004      1806    2xSSB   28      5965    5904
29      UX6F    07.08.2004      1808    2xSSB   28      5965    5958
30      SM3W    07.08.2004      1809    2xSSB   28      5965    5997
