START-OF-LOG:		3.0
CONTEST:		CQ-WW-SSB
CALLSIGN:		M6ADB/M
OPERATORS:		M6ADB
CATEGORY-OPERATOR:	SINGLE-OP
CATEGORY-ASSISTED:	NON-ASSISTED
CATEGORY-OVERLAY:	CLASSIC
CATEGORY-BAND:		ALL
CATEGORY-POWER:		LOW
CATEGORY-MODE:		SSB
CATEGORY-TRANSMITTER:	ONE
LOCATION:		DX
NAME:			Andrew Banks
SOAPBOX:		Calling /mobile in a contest seemed to confuse some operators!
QSO:  7160 PH 2013-10-26 1050 M6ADB/M       59  14     GM0B          59  14
QSO:  7170 PH 2013-10-26 1056 M6ADB/M       59  14     DF0HQ         59  14
QSO:  7172 PH 2013-10-26 1108 M6ADB/M       59  14     F4FFZ         59  14
QSO:  7157 PH 2013-10-26 1110 M6ADB/M       59  14     OT5A          59  14
QSO:  7138 PH 2013-10-26 1113 M6ADB/M       59  14     M4D           59  14
QSO:  7132 PH 2013-10-26 1114 M6ADB/M       59  14     OL5T          59  15
QSO:  7127 PH 2013-10-26 1115 M6ADB/M       59  14     TM7GY         59  14
QSO:  7112 PH 2013-10-26 1117 M6ADB/M       59  14     ON7LU/P       59  14
QSO:  7112 PH 2013-10-26 1119 M6ADB/M       59  14     G0MBA         59  14
QSO: 14255 PH 2013-10-26 1125 M6ADB/M       59  14     9A5Y          59  15
QSO: 14250 PH 2013-10-26 1127 M6ADB/M       59  14     II9P          59  15
QSO: 14292 PH 2013-10-26 1129 M6ADB/M       59  14     S53DOS        59  15
QSO: 14280 PH 2013-10-26 1133 M6ADB/M       59  14     TM1O          59  14
QSO: 14276 PH 2013-10-26 1134 M6ADB/M       59  14     EA5DFV        59  14
QSO: 14289 PH 2013-10-26 1137 M6ADB/M       59  14     HA30S         59  15
QSO: 14310 PH 2013-10-26 1141 M6ADB/M       59  14     CT1FHL        59  14
QSO: 14318 PH 2013-10-26 1144 M6ADB/M       59  14     OL9Z          59  15
QSO: 21250 PH 2013-10-26 1354 M6ADB/M       59  14     HA3OU         59  15
QSO: 21235 PH 2013-10-26 1356 M6ADB/M       59  14     K2CYE         59  05
QSO: 21205 PH 2013-10-26 1400 M6ADB/M       59  14     ED9Z          59  33
QSO: 21202 PH 2013-10-26 1402 M6ADB/M       59  14     N1MM          59  05
END-OF-LOG:
