START-OF-LOG: 3
CALLSIGN: DJ1YFK
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-MODE: CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-POWER: LOW
CATEGORY-TRANSMITTER: ONE
CLAIMED-SCORE: 1248
CLUB: Bavarian Contest Club
CONTEST: REF-CW
CREATED-BY: YFKtest 0.0.9
NAME: Fabian Kurz
OPERATORS: DJ1YFK 
SOAPBOX: K2, 10W, Vertical. Not much time, but enjoyed the QSOs.
QSO:  3500 CW 2016-01-30 0648 DJ1YFK        599 001    F5SGI/P       599 14
QSO:  3500 CW 2016-01-30 0649 DJ1YFK        599 002    F8BUO         599 68
QSO:  3500 CW 2016-01-30 0649 DJ1YFK        599 003    F5NBX         599 87
QSO:  3500 CW 2016-01-30 0652 DJ1YFK        599 004    F5OHM         599 36
QSO:  3500 CW 2016-01-30 0718 DJ1YFK        599 005    F5VHY         599 47
QSO:  3500 CW 2016-01-30 0722 DJ1YFK        599 006    F6JOE         599 01
QSO: 14000 CW 2016-01-30 0957 DJ1YFK        599 007    F6KHM         599 29
QSO: 14000 CW 2016-01-30 1003 DJ1YFK        599 008    F8KGW         599 35
QSO:  7000 CW 2016-01-30 1041 DJ1YFK        599 009    F6JOE         599 01
QSO:  7000 CW 2016-01-30 1042 DJ1YFK        599 010    F5IN          599 45
QSO:  7000 CW 2016-01-30 1043 DJ1YFK        599 011    F6KJX         599 41
QSO:  7000 CW 2016-01-30 1045 DJ1YFK        599 012    TM1A          599 77
QSO:  7000 CW 2016-01-30 1450 DJ1YFK        599 013    F6CZQ         599 73
QSO:  7000 CW 2016-01-30 1452 DJ1YFK        599 014    F5KDC         599 63
QSO:  7000 CW 2016-01-30 1454 DJ1YFK        599 015    F5KDJ         599 45
QSO: 14000 CW 2016-01-30 1456 DJ1YFK        599 016    F6KPQ         599 56
QSO: 14000 CW 2016-01-30 1536 DJ1YFK        599 017    F5VHY         599 47
QSO: 14000 CW 2016-01-30 1537 DJ1YFK        599 018    F5NBX         599 87
QSO: 14000 CW 2016-01-30 1538 DJ1YFK        599 019    F6KUQ         599 33
QSO: 14000 CW 2016-01-30 1539 DJ1YFK        599 020    F6KNB         599 33
QSO: 14000 CW 2016-01-30 1540 DJ1YFK        599 021    TM4M          599 13
QSO: 14000 CW 2016-01-30 1543 DJ1YFK        599 022    F5XX          599 81
QSO: 14000 CW 2016-01-30 1545 DJ1YFK        599 023    F5VKT         599 47
QSO: 14000 CW 2016-01-30 1546 DJ1YFK        599 024    F5VBT         599 38
QSO:  7000 CW 2016-01-30 1600 DJ1YFK        599 025    F5VBU         599 66
QSO:  7000 CW 2016-01-30 1603 DJ1YFK        599 026    F5OHM         599 36
QSO:  7000 CW 2016-01-30 1724 DJ1YFK        599 027    TM4P          599 47
QSO:  7000 CW 2016-01-30 1725 DJ1YFK        599 028    F5MXH         599 45
QSO:  7000 CW 2016-01-30 1728 DJ1YFK        599 029    F6AUS         599 79
QSO:  7000 CW 2016-01-30 1730 DJ1YFK        599 030    F8BBR         599 86
QSO:  7000 CW 2016-01-30 1740 DJ1YFK        599 031    F6KJJ         599 38
QSO:  7000 CW 2016-01-30 1755 DJ1YFK        599 032    F6DEV         599 09
QSO: 14000 CW 2016-01-31 1034 DJ1YFK        599 033    TM4P          599 47
QSO:  7000 CW 2016-01-31 1042 DJ1YFK        599 034    F5TPO         599 57
QSO:  7000 CW 2016-01-31 1044 DJ1YFK        599 035    F5KKD         599 93
QSO:  7000 CW 2016-01-31 1046 DJ1YFK        599 036    F6GUF         599 37
QSO:  7000 CW 2016-01-31 1049 DJ1YFK        599 037    F6FYA         599 37
QSO:  7000 CW 2016-01-31 1050 DJ1YFK        599 038    F5OWL         599 83
QSO:  7000 CW 2016-01-31 1053 DJ1YFK        599 039    F6GNG/P       599 73
END-OF-LOG:

