date	utc	nr	band	mode	call	rcvd	rcvd
04. Aug 01	1000	1	15	CW	9A1AA	599	77
04. Aug 01	1001	2	15	CW	HA3NU	599	72
04. Aug 01	1001	3	15	CW	RN6LG	599	82
04. Aug 01	1001	4	15	CW	OZ0RS	599	81
04. Aug 01	1002	5	15	CW	LZ2AU	599	85
04. Aug 01	1002	6	15	CW	YO3JOS	599	00
04. Aug 01	1003	7	15	CW	UY5TE	599	68
04. Aug 01	1003	8	15	CW	UR5FCM	599	94
04. Aug 01	1003	9	15	CW	GM3CFS	599	47
04. Aug 01	1004	10	15	CW	RA3NN	599	83
04. Aug 01	1004	11	15	CW	RU4CO	599	81
04. Aug 01	1005	12	15	CW	YU7LS	599	65
04. Aug 01	1006	13	15	CW	LZ1QZ	599	78
04. Aug 01	1007	14	15	CW	PA3BFH	599	80
04. Aug 01	1009	15	15	CW	YO4AAC	599	85
04. Aug 01	1009	16	15	CW	DL4JMM	599	64
04. Aug 01	1009	17	15	CW	US7IM	599	93
04. Aug 01	1010	18	15	CW	UT1FA	599	77
04. Aug 01	1011	19	15	CW	SM3ARR	599	48
04. Aug 01	1011	20	15	CW	UY5WA	599	60
04. Aug 01	1012	21	10	CW	RK3AWL	599	92
04. Aug 01	1013	22	10	CW	RA6AR	599	72
04. Aug 01	1013	23	10	CW	LY2TE	599	84
04. Aug 01	1013	24	10	CW	UT8LO	599	86
04. Aug 01	1013	25	10	CW	G3NSY	599	59
04. Aug 01	1014	26	10	CW	EU1MM	599	79
04. Aug 01	1015	27	10	CW	RN6CF	599	68
04. Aug 01	1015	28	10	CW	EO1I	599	76
04. Aug 01	1016	29	10	CW	HA6NW	599	72
04. Aug 01	1016	30	10	CW	EU8RZ	599	69
04. Aug 01	1016	31	10	CW	LZ2KTR	599	01
04. Aug 01	1016	32	10	CW	SM2T	599	71
04. Aug 01	1017	33	10	CW	SM3W	599	97
04. Aug 01	1018	34	10	CW	UA3AMY	599	73
04. Aug 01	1018	35	10	CW	UR5FCM	599	94
04. Aug 01	1018	36	10	CW	OH6RX	599	88
04. Aug 01	1019	37	10	CW	EU1DX	599	86
04. Aug 01	1020	38	10	CW	LZ4UU	599	95
04. Aug 01	1021	39	10	CW	RU6CZ	599	87
04. Aug 01	1021	40	10	CW	RU4CO	599	81
04. Aug 01	1021	41	10	CW	UW2F	599	78
04. Aug 01	1022	42	10	CW	UV5U	599	72
04. Aug 01	1023	43	10	CW	RU3RQ	599	92
04. Aug 01	1023	44	10	CW	UA6LTI	599	79
04. Aug 01	1023	45	10	CW	UA3WW	599	51
04. Aug 01	1023	46	10	CW	RK3AD	599	76
04. Aug 01	1024	47	10	CW	ES1TM	599	49
04. Aug 01	1024	48	10	CW	YO6ADW	599	64
04. Aug 01	1025	49	10	CW	LY2BBF	599	72
04. Aug 01	1025	50	10	CW	YU7KW	599	75
04. Aug 01	1026	51	10	CW	UA4LU	599	77
04. Aug 01	1026	52	10	CW	YZ1V	599	83
04. Aug 01	1026	53	10	CW	GM3CFS	599	47
04. Aug 01	1027	54	10	CW	GW3NJW	599	59
04. Aug 01	1027	55	10	CW	UY5TE	599	68
04. Aug 01	1028	56	10	CW	LY2UF	599	90
04. Aug 01	1029	57	10	CW	RV1AW	599	85
04. Aug 01	1029	58	10	CW	UT2IO	599	79
04. Aug 01	1030	59	10	CW	LZ1ZM	599	81
04. Aug 01	1030	60	10	CW	UA2FZ	599	82
04. Aug 01	1031	61	10	CW	LY2FN	599	78
04. Aug 01	1032	62	10	CW	RN6AL	599	85
04. Aug 01	1033	63	10	CW	RW3DY	599	84
04. Aug 01	1033	64	10	CW	YO7VJ	599	64
04. Aug 01	1033	65	10	CW	EU1FC	599	89
04. Aug 01	1034	66	10	CW	LY7Z	599	88
04. Aug 01	1034	67	10	CW	YZ1AU	599	81
04. Aug 01	1034	68	10	CW	OH1F	599	88
04. Aug 01	1034	69	10	CW	EW1EA	599	80
04. Aug 01	1035	70	10	CW	RW3QC	599	82
04. Aug 01	1035	71	10	CW	LY2OX	599	66
04. Aug 01	1036	72	10	CW	RK3BA	599	90
04. Aug 01	1036	73	10	CW	RZ3FA	599	95
