START-OF-LOG: 2.0								
ARRL-SECTION: NLI								
CALLSIGN: WB2NFL								
CLUB:								
CONTEST: EA-PSK63
CATEGORY: SINGLE-OP 20M
CLAIMED-SCORE: 1620
OPERATORS: WB2NFL								
NAME: Bob Ciappa								
CREATED-BY: N1MM Logger+	1.0.	8211						
QSO: 14070 PS 2020-03-14	1931	WB2NFL	599	1		EA1AF	599	P
QSO: 14070 PS 2020-03-14	1933	WB2NFL	599	2		SP4TXI	599	97
QSO: 14070 PS 2020-03-14	1934	WB2NFL	599	3		EA7P	599	CA
QSO: 14070 PS 2020-03-14	1936	WB2NFL	599	4		UR2Y	599	115
QSO: 14069 PS 2020-03-14	1939	WB2NFL	599	5		EA8W	599	GC
QSO: 14069 PS 2020-03-14	2005	WB2NFL	599	6		EA1WH	599	0
QSO: 14069 PS 2020-03-14	2006	WB2NFL	599	7		EA2XR	599	BI
QSO: 14069 PS 2020-03-14	2009	WB2NFL	599	7		EA2CP	599	BI
QSO: 14069 PS 2020-03-14	2011	WB2NFL	599	8		EA5BN	599	MU
QSO: 14069 PS 2020-03-14	2014	WB2NFL	599	9		EA2ESZ	599	VI
QSO: 14069 PS 2020-03-14	2018	WB2NFL	599	10		EA1O	599	SG
QSO: 14069 PS 2020-03-14	2020	WB2NFL	599	11		EA8/HB9FIH	599	TF
QSO: 14069 PS 2020-03-14	2027	WB2NFL	599	12		AI4WW	599	16
QSO: 14070 PS 2020-03-14	2033	WB2NFL	599	13		PD2PKM	599	37
QSO: 14070 PS 2020-03-14	2037	WB2NFL	599	14		PA2JCB	599	22
QSO: 14070 PS 2020-03-14	2039	WB2NFL	599	15		F6BQG	599	18
QSO: 14070 PS 2020-03-14	2057	WB2NFL	599	16		DJ0YI	599	56
QSO: 14070 PS 2020-03-14	2103	WB2NFL	599	17		IW4EJK	599	46
QSO: 14070 PS 2020-03-14	2114	WB2NFL	599	18		EA1G	599	O
QSO: 14070 PS 2020-03-15	1503	WB2NFL	599	19		EA7KHB	599	CO
QSO: 14070 PS 2020-03-15	1506	WB2NFL	599	20		PB0ACU	599	143
QSO: 14070 PS 2020-03-15	1512	WB2NFL	599	21		IK5FKF	599	154
QSO: 14070 PS 2020-03-15	1513	WB2NFL	599	22		OT7D	599	263
QSO: 14068 PS 2020-03-15	1521	WB2NFL	599	23		EA1L	599	O
QSO: 14068 PS 2020-03-15	1525	WB2NFL	599	24		YO9HP	599	209
QSO: 14068 PS 2020-03-15	1529	WB2NFL	599	25		SV1JG	599	366
QSO: 14068 PS 2020-03-15	1532	WB2NFL	599	26		EA7BP	599	SE
QSO: 14068 PS 2020-03-15	1538	WB2NFL	599	27		PD5JFK	599	86
QSO: 14068 PS 2020-03-15	1543	WB2NFL	599	28		RX6BH	599	255
QSO: 14068 PS 2020-03-15	1550	WB2NFL	599	29		EA3CS	599	B
QSO: 14068 PS 2020-03-15	1556	WB2NFL	599	30		EF8W	599	TF
END-OF-LOG:								
